movie_title,review
착한 사나이,아직도 건달 이야기야?
착한 사나이,앙
착한 사나이,음 뭠랄가 38년도 스토리에 ㅜ ㅜ 좀 달리극본이 달랐으면 딱좋았을걸
우리영화,박보노
우리영화,"불륜, 재벌, 정계싸움 등 자극적인 영화와 드라마들 사이에서 피어난 한송이의 들꽃.. 너무 오랜만에 내 취향"
우리영화,낙관주의민
우리영화,남녀 모두 엄청난 서사를 갖고 있지만  생의 의미는 그냥 최선을 다하는 것. 언제 떠나더라도 미련은 가능한 최소화하고 사랑하는 사람이 웃을 수 있는 추억을 만들어주는 것 ♡
우리영화,닉네임
우리영화,얼굴을 마주하고 대화하는 scene 위주인데 점점 더 재밌어진다. 진부한 내용일 줄 알았는데 유일한 영화를 만드는 배우들.
우리영화,천아손
우리영화,"잔잔래서 몰입감이 떨어진다고들 하지만 , 그래도 전 재미있게 보고 있아요 전여빈 이설 배우 늘 응원합니다!"
우리영화,친절한_짱구_536087
우리영화,"애매~~~함. 일단 전여빈의 외모가 너무 평범하구, 연기도.. 다소 오바스럽고 오글거린달까. 극본은 무난한데 캐스팅이 아쉬움. 비타민씨 같은 여배우가 맡았더라면 더 몰입했을 텐데."
우리영화,퇴근하고드라마봐야지
우리영화,"편안해요,"
우리영화,너무많이봐서기억도안나
우리영화,"전여빈 목소리왜줘랩.. 빈센조에서의 목소리랑 다르자나
드라마속의 영화대사는 왜케 오글거랴"
우리영화,즐거운_컴버배치_727774
우리영화,조용하게 보통 사람들이 살아가는 듯이 그냥 사랑하고 그냥. 살아가는 이야기. 인물 연구도 잘 된 듯한 연기자들.
우리영화,Dito
우리영화,느리지만 몰입되는 드라마는 오랜만이다
우리영화,싹싹한_스필버그_649080
우리영화,이런 작품 내줘서 고맙고 사랑해...
견우와 선녀,너무많이봐서기억도안나
견우와 선녀,"남녀주인공 볼라고 보는 드라마 아님
나는 추자현 연기 볼려고 견우본닼ㅋㅋㅋㅋ 심지어 남녀주인공 건뛰
ㅋㅋㅋㅋㅋ😂연기 찰지게 잘하셔 트리거에서도 몰입도 짱이였는데 👍"
견우와 선녀,마왕과나
견우와 선녀,재밌네 ㅋㅋㅋㅋ이현이 보러 가즈아~~~
견우와 선녀,인형의기사
견우와 선녀,"조이현 너무너무 귀엽고 이쁘게 나오고 
너무 재미있어요❤️❤️❤️❤️❤️"
견우와 선녀,귀여운 타란티노_43609
견우와 선녀,재밌음
견우와 선녀,즐거운_마동석_209083
견우와 선녀,2화까지 - 이거왜재밌음? 돌풍감독이라 함 보았는데 탄탄하다
견우와 선녀,상냥한_슈카_128005
견우와 선녀,조이현 너무너무 이쁨ㅜㅜ
견우와 선녀,하다니
견우와 선녀,"조이현 와 이리 귀여움?
가끔 과하긴 하지만 외모가 다해주네
스토리는 애들이 좋아할 정도지만 귀여우니 됐다"
견우와 선녀,니가그렇지모
견우와 선녀,귀엽네 성인시절로는 안가나
견우와 선녀,메리
견우와 선녀,"일단 지금까진 흥미롭고 귀여움
하이틴로코의 정석같은 맛"
케이팝 데몬 헌터스,야생고양이
케이팝 데몬 헌터스,까치와 호랑이 인형이 필요하다.
케이팝 데몬 헌터스,화가난_강동원_590773
케이팝 데몬 헌터스,"김구선생님 보고계시나요…
소니가 만든 국뽕애니가 넷플공개라니"
케이팝 데몬 헌터스,우울한 송강호_138875
케이팝 데몬 헌터스,"시즌 2 나왔으면
노래도 캐디도 세계관도 너무 잘 뽑힘
단발성으로 끝내기엔 넘 아쉽다
헌트릭스랑 사자보이즈 나머지 멤버들 과거 이야기도 풀어주길 ㅠ"
케이팝 데몬 헌터스,영알못
케이팝 데몬 헌터스,K-POP을 제대로 배운 이들이 영리하게 만들어낸 코리엔탈리즘
케이팝 데몬 헌터스,도도한 타란티노_54004
케이팝 데몬 헌터스,"예고편만 보고선 또 양놈들이 괴랄한 걸 만들어왔다 싶었는데, 말도 안되게 맛있는 어메리칸 코리안 부대찌개를 만들어 옴. 국내라면 바로 까였을 기획 ㅋㅋㅋㅋ"
케이팝 데몬 헌터스,PHY
케이팝 데몬 헌터스,이게 왜.... 재밌지?
케이팝 데몬 헌터스,하다니
케이팝 데몬 헌터스,고양이 같은 호랑이 전령 인형 빨리 팔아줘요!
케이팝 데몬 헌터스,궁금한_팀버튼_625622
케이팝 데몬 헌터스,안효섭이 한국어로 이만큼만 연기해도 진짜  좋겠다. 안효섭의 재발견
케이팝 데몬 헌터스,귀여운_침착맨_569931
케이팝 데몬 헌터스,귀에 쏙쏙 들어오는거 인정 ㄹㅎㅎㅎ
케이팝 데몬 헌터스,상냥한_에스파_674217
케이팝 데몬 헌터스,왜 재밌는지 의문이 들지만 재미있음ㅋㅋㅋㅋㅋ
전지적 독자 시점,라라랜드
전지적 독자 시점,전독시 재밌게 봤어요 😊
전지적 독자 시점,힙합팬
전지적 독자 시점,"생존 위의 여러 인간 군상과 각자도생에 대한 비판점이 클리셰처럼 그려진 아쉬움.
하지만 극장에서 자주 볼 수 없는 게임적 설정과 미션깨기형 전개는 신선하게 다가왔다."
전지적 독자 시점,ruru
전지적 독자 시점,원작 조금 보고 영화 보러갔는데 재밌었다 김독자 유중혁 나나의 액션씬들이 넘 멋있게 나왔다 극장에서 감탄들 나올만한 판타지 액션 장면들로 2시간 가득 채웠다
전지적 독자 시점,하늘아래서
전지적 독자 시점,너뮤나 좋았던 연출 연기 몰입감 강추 에요
전지적 독자 시점,순수한 영화광_58
전지적 독자 시점,원작을 보지 않고 보러간거라 너무 흥미진진하게 보고 왔습니다. 내용도 되게 신선하고 주인공이 무한정 구르기는 하지만 여러 인물들이 합심해서 헤쳐나가는 내용을 긴장감있게 보여줍니다.
전지적 독자 시점,동주Moon
전지적 독자 시점,"여러 우려에 걱정 많이했는데 순수하게 오락적 재미가 훌륭한- 잘만든 한국 블록버스터 영화였다. 막상 보면 이 영화만의
미덕이 가득하니 너그러운 마음으로 즐기길 추천!"
전지적 독자 시점,박스타
